day_of_week,hour_sin,hour_cos,ride_name,wait_time
4,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,25.0
4,-0.7071067811865477,0.7071067811865474,The Magic Carpets of Aladdin,5.0
5,0.7071067811865476,-0.7071067811865475,The Magic Carpets of Aladdin,5.0
5,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,5.0
5,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,10.0
5,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,20.0
5,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,20.0
5,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,20.0
5,1.2246467991473532e-16,-1.0,The Magic Carpets of Aladdin,10.0
5,1.2246467991473532e-16,-1.0,The Magic Carpets of Aladdin,15.0
5,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,15.0
5,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,15.0
5,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,10.0
5,-0.4999999999999997,-0.8660254037844388,The Magic Carpets of Aladdin,15.0
5,-0.4999999999999997,-0.8660254037844388,The Magic Carpets of Aladdin,10.0
5,-0.7071067811865471,-0.7071067811865479,The Magic Carpets of Aladdin,10.0
5,-0.7071067811865471,-0.7071067811865479,The Magic Carpets of Aladdin,10.0
5,-0.8660254037844385,-0.5000000000000004,The Magic Carpets of Aladdin,10.0
5,-0.8660254037844385,-0.5000000000000004,The Magic Carpets of Aladdin,15.0
5,-0.8660254037844385,-0.5000000000000004,The Magic Carpets of Aladdin,5.0
5,-0.9659258262890683,-0.25881904510252063,The Magic Carpets of Aladdin,10.0
5,-0.9659258262890683,-0.25881904510252063,The Magic Carpets of Aladdin,15.0
5,-0.9659258262890683,-0.25881904510252063,The Magic Carpets of Aladdin,20.0
5,-1.0,-1.8369701987210297e-16,The Magic Carpets of Aladdin,20.0
5,-1.0,-1.8369701987210297e-16,The Magic Carpets of Aladdin,20.0
5,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,25.0
5,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,10.0
5,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,15.0
5,-0.7071067811865477,0.7071067811865474,The Magic Carpets of Aladdin,5.0
5,-0.7071067811865477,0.7071067811865474,The Magic Carpets of Aladdin,5.0
5,-0.7071067811865477,0.7071067811865474,The Magic Carpets of Aladdin,5.0
5,-0.5000000000000004,0.8660254037844384,The Magic Carpets of Aladdin,5.0
6,0.7071067811865476,-0.7071067811865475,The Magic Carpets of Aladdin,5.0
6,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,15.0
6,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,25.0
6,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,15.0
6,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,15.0
6,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,15.0
6,1.2246467991473532e-16,-1.0,The Magic Carpets of Aladdin,20.0
6,1.2246467991473532e-16,-1.0,The Magic Carpets of Aladdin,20.0
6,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,20.0
6,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,15.0
6,-0.4999999999999997,-0.8660254037844388,The Magic Carpets of Aladdin,15.0
6,-0.4999999999999997,-0.8660254037844388,The Magic Carpets of Aladdin,15.0
6,-0.7071067811865471,-0.7071067811865479,The Magic Carpets of Aladdin,5.0
6,-0.7071067811865471,-0.7071067811865479,The Magic Carpets of Aladdin,20.0
6,-0.7071067811865471,-0.7071067811865479,The Magic Carpets of Aladdin,15.0
6,-1.0,-1.8369701987210297e-16,The Magic Carpets of Aladdin,5.0
6,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,5.0
6,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,5.0
6,-0.8660254037844386,0.5000000000000001,The Magic Carpets of Aladdin,5.0
0,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,20.0
0,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,30.0
0,1.2246467991473532e-16,-1.0,The Magic Carpets of Aladdin,25.0
0,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,25.0
0,-0.7071067811865471,-0.7071067811865479,The Magic Carpets of Aladdin,15.0
0,-0.8660254037844385,-0.5000000000000004,The Magic Carpets of Aladdin,30.0
0,-0.9659258262890683,-0.25881904510252063,The Magic Carpets of Aladdin,15.0
0,-0.9659258262890683,-0.25881904510252063,The Magic Carpets of Aladdin,5.0
0,-1.0,-1.8369701987210297e-16,The Magic Carpets of Aladdin,15.0
0,-1.0,-1.8369701987210297e-16,The Magic Carpets of Aladdin,15.0
0,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,15.0
0,-0.9659258262890684,0.2588190451025203,The Magic Carpets of Aladdin,25.0
0,-0.8660254037844386,0.5000000000000001,The Magic Carpets of Aladdin,25.0
0,-0.7071067811865477,0.7071067811865474,The Magic Carpets of Aladdin,5.0
1,0.7071067811865476,-0.7071067811865475,The Magic Carpets of Aladdin,10.0
1,0.49999999999999994,-0.8660254037844387,The Magic Carpets of Aladdin,30.0
1,0.258819045102521,-0.9659258262890682,The Magic Carpets of Aladdin,30.0
1,1.2246467991473532e-16,-1.0,The Magic Carpets of Aladdin,45.0
1,-0.2588190451025208,-0.9659258262890683,The Magic Carpets of Aladdin,40.0
4,-0.7071067811865471,-0.7071067811865479,Mad Tea Party,15.0
4,-0.7071067811865471,-0.7071067811865479,Mad Tea Party,15.0
4,-0.7071067811865471,-0.7071067811865479,Mad Tea Party,15.0
4,-0.7071067811865471,-0.7071067811865479,Mad Tea Party,15.0
4,-0.7071067811865471,-0.7071067811865479,Mad Tea Party,15.0
4,-0.7071067811865471,-0.7071067811865479,Mad Tea Party,35.0
4,-0.8660254037844385,-0.5000000000000004,Mad Tea Party,20.0
4,-0.9659258262890683,-0.25881904510252063,Mad Tea Party,15.0
4,-0.9659258262890683,-0.25881904510252063,Mad Tea Party,30.0
4,-0.9659258262890683,-0.25881904510252063,Mad Tea Party,30.0
4,-1.0,-1.8369701987210297e-16,Mad Tea Party,15.0
4,-1.0,-1.8369701987210297e-16,Mad Tea Party,15.0
4,-0.9659258262890684,0.2588190451025203,Mad Tea Party,25.0
4,-0.9659258262890684,0.2588190451025203,Mad Tea Party,15.0
4,-0.9659258262890684,0.2588190451025203,Mad Tea Party,15.0
